,acc.date,type,reg,operator,fat,location,dmg
497,3 Mar 2020,Beechcraft 200 Super King Air,N2PY,AT Aero LLC,0,"Nashville-John C. Tune Airport, TN (KJWN)",sub
498,3 Mar 2020,Beechcraft 200 Super King Air,N186EB,Executive Business Aviation Inc,0,"Nashville-John C. Tune Airport, TN (KJWN)",sub
499,3 Mar 2020,Bombardier BD-100-1A10 Challenger 300,N819RS,Legacy Air LLC,0,"Nashville-John C. Tune Airport, TN (KJWN)",sub
500,3 Mar 2020,Cessna 525C Citation CJ4,N989CJ,Textron Inc.,0,"Nashville-John C. Tune Airport, TN (KJWN)",sub
501,3 Mar 2020,Cessna 525 CitationJet CJ1,N177VV,"Crye-Leike South, Inc",0,"Nashville-John C. Tune Airport, TN (KJWN)",sub
502,3 Mar 2020,Beechcraft B300 King Air 350i,N615CL,Carol 1 LLC,0,"Nashville-John C. Tune Airport, TN (KJWN)",w/o
503,3 Mar 2020,Dassault Falcon 2000,N519JD,"Caridad Aviation, LLC",0,"Nashville-John C. Tune Airport, TN (KJWN)",sub
504,3 Mar 2020,Cessna S550 Citation S/II,N45NC,private,0,"Nashville-John C. Tune Airport, TN (KJWN)",sub
505,5 Mar 2020,Cessna 208B Super Cargomaster,N706FX,"FedEx Express, opb CSA Air",0,"Rhinelander-Oneida County Airport, WI (RHI)",sub
506,6 Mar 2020,de Havilland Canada DHC-6 Vista Liner 300,N72GC,Grand Canyon Airlines,0,"Boulder City Municipal Airport, NV (BLD)",sub
507,8 Mar 2020,Boeing 767-3Q8ER,N477AX,Omni Air International,0,Shannon Airport (SNN),sub
508,9 Mar 2020,Airbus A330-343,HS-TEU,Thai Airways International,0,Vientiane-Wattay Airport (VTE),sub
509,9 Mar 2020,Gulfstream G-IVSP,M-YWAY,"Platinum Jet Co., Ltd.",0,Vientiane-Wattay Airport (VTE),sub
510,12 Mar 2020,de Havilland Canada DHC-3T Vazar Turbine Otter,C-GTMW,Martini Aviation Ltd.,0,"Fort Langley Airport, BC (CBQ2)",sub
511,12 Mar 2020,Beechcraft 200 Super King Air,HK-5075,private,2,"Claura Arriba, Iriona, Colón",w/o
512,13 Mar 2020,Cessna 525 CitationJet,YV3452,Servicios 5250084,2,Porlamar-del Caribe Santiago Mariño International Airport (PMV),w/o
513,14 Mar 2020,Raytheon Hawker 800XP,N100AG,Gemini Air Group,0,"Phoenix-Scottsdale Municipal Airport, AZ (SCF)",sub
514,17 Mar 2020,Cessna 208B Super Cargomaster,N274PM,Planemasters,1,"NW of La Crosse, Rush County, KS",w/o
515,19 Mar 2020,Cessna 208 Caravan I,P2-MAF,Mission Aviation Fellowship - MAF,0,Yenkisa Airstrip (YEQ),sub
516,21 Mar 2020,Boeing 757-223 (WL),N193AN,American Airlines,0,"Las Vegas-McCarran International Airport, NV (LAS)",sub
517,22 Mar 2020,Hawker Siddeley HS-125-F400B,(XB-PNK),private,0,"near Caballo Blanco, Retalhuleu",sub
518,28 Mar 2020,Cessna 501 Citation I/SP,N810LG,RBR Development LLC,0,"Jonesboro Municipal Airport, AR (JBR)",w/o
519,28 Mar 2020,Cessna 525A CitationJet CJ2+,N457MD,Hog Air Aviation LLC,0,"Jonesboro Municipal Airport, AR (JBR)",w/o
520,29 Mar 2020,IAI 1124A Westwind II,RP-C5880,Lionair Inc.,8,Manila-Ninoy Aquino International Airport (MNL),w/o
521,5 Apr 2020,Antonov An-26,UP-AN601,Libyan National Army,,near Tarhuna,w/o
522,12 Apr 2020,Boeing 737-881 (WL),JA64AN,"All Nippon Airways - ANA, opb ANA Wings",0,30 km south-southwest of Matsuyama Airport (MYJ/RJOM),non
523,16 Apr 2020,Cessna 208 Caravan I,C-GBIT,Mike's Oilfield Services Ltd.,0,"Maurice Lake, SK",sub
524,19 Apr 2020,British Aerospace BAe-125-700A,N700NW,private,2,"near Las Cruces, Petén",w/o
525,20 Apr 2020,British Aerospace BAe-125-800A,N375TC,private,0,Laguna del Tigre National Park,w/o
526,23 Apr 2020,Lockheed C-130J-30 Super Hercules,11-5736,United States Air Force - USAF,0,Ramstein AFB (RMS),sub
527,24 Apr 2020,IAI 1125 Astra SP,YV3427,Inversiones SC 2012,0,"Fort Lauderdale-Executive Airport, FL (FXE)",sub
528,28 Apr 2020,Beechcraft A100 King Air,C-FCBZ,Buffalo Airways,0,"Kugaaruk Airport, NU (YBB)",sub
529,2 May 2020,Beechcraft B200 Super King Air,C-GSAE,Province of Saskatchewan Ministry of Central Services,0,"SE of Lloydminster Airport, AB (YLL)",sub
530,4 May 2020,Learjet 25D,LV-WOC,Dos Mil Aerosistema,0,"San Fernando Airport, BA (FDO)",sub
531,4 May 2020,Embraer EMB-120RT Brasilia,5Y-AXO,African Express Airways,6,near Bardale Airstrip,w/o
532,5 May 2020,Learjet 35A,LV-BXU,MD Fly,3,"near Esquel Airport, CB (EQS)",w/o
533,7 May 2020,Hawker Siddeley HS-125,XB-RBF,private,0,southern Zulia state,w/o
534,8 May 2020,Beechcraft 1900C,N31704,Ameriflight,0,"San Antonio International Airport, TX (SAT)",sub
535,9 May 2020,Ilyushin Il-78,no reg.,Libyan Air Force,0,Tripoli-Mitiga International Airport (MJI),w/o
536,9 May 2020,Learjet 60XR,5A-UAE,United Aviation,0,Tripoli-Mitiga International Airport (MJI),w/o
537,16 May 2020,Let L-410MA,RA-67066,Unknown,0,Ulang Airstrip,sub
538,19 May 2020,Cessna 501 Citation I/SP,N501KM,McWilliams LLC,0,"Houston-William P. Hobby Airport, TX (HOU)",sub
539,19 May 2020,Boeing 737-8Q8 (WL),N820TJ,Swift Air,0,"W of Victorville-Southern California Logistics Airport, CA (VCV)",sub
540,21 May 2020,Beechcraft 400A Beechjet,VT-RPG,Sanjiv Goenka Group,0,Kolkata-Netaji Subhas Chandra Bose International Airport (CCU),sub
541,21 May 2020,Embraer C-95BM Bandeirante (EMB-110),FAB2347,Força Aérea Brasileira - FAB,0,"Natal Air Force Base, RN (SBNT)",sub
542,22 May 2020,Airbus A320-214,AP-BLD,Pakistan International Airlines - PIA,97+1,"1,4 km E of Karachi-Jinnah International Airport (KHI)",w/o
543,26 May 2020,Beechcraft 200 Super King Air,,private,0,"near Morocoy, Quintana Roo",w/o
544,28 May 2020,British Aerospace BAe-125-700A,N720PT,private,0,near Sarteneja,sub
545,30 May 2020,Antonov An-2,,Taraz Zhana Alem,0,Urzhar Airport (UZR),sub
546,30 May 2020,de Havilland Canada DHC-6 Twin Otter 100,N52FW,"Kapowsin Air Sports, opf Skydive San Diego",0,"San Diego-Brown Field Municipal Airport, CA (SDM)",sub
547,30 May 2020,Beechcraft 200 Super King Air,,private,0,Región Costa Montaña ?,w/o
548,8 Jun 2020,Dornier 228-212,PH-CGN,Netherlands Coast Guard (Kustwacht),0,Eindhoven Airport (EIN/EHEH),min
549,8 Jun 2020,Lockheed C-130H3 Hercules,94-6706,United States Air Force - USAF,0,Al Taji Army Air Field (ORTI),sub
550,9 Jun 2020,Beechcraft 1900D,C-GSLX,Sunwest Aviation,0,"near Lac la Biche (CYLB), AB",sub
551,13 Jun 2020,Beechcraft 300 Super King Air 350,N858UP,Gama Aviation Signature,0,"Bedford-Hanscom Field, MA (BED)",sub
552,14 Jun 2020,Airbus A320-271N,VT-IJT,IndiGo Airlines,0,near Cochin Airport,non
553,14 Jun 2020,Airbus A320-232,VP-BDL,Ural Airlines,0,Saint Petersburg-Pulkovo Airport (LED),sub
554,14 Jun 2020,Airbus A320-271N,VP-BWC,S7 Airlines,0,Saint Petersburg-Pulkovo Airport (LED),min
555,15 Jun 2020,Grumman G-1159 Gulfstream II,N27SL,private,1,"Machiques de Perijá, Zulia",w/o
556,16 Jun 2020,Embraer ERJ-145EP,G-SAJS,Loganair,0,Aberdeen International Airport (ABZ/EGPD),min
557,16 Jun 2020,de Havilland Canada DHC-8-402Q Dash 8,G-JECK,Nordic Aviation Capital,0,Aberdeen International Airport (ABZ/EGPD),sub
558,19 Jun 2020,Gulfstream Aerospace G-1159A Gulfstream III,N516TR,private,0,"El Chico, Retalhuleu",w/o
559,28 Jun 2020,Cessna 560XL Citation XLS,VT-JSS,Jindal Steel & Power Ltd.,0,Vijayanagar Aerodrome (VDY),sub
560,2 Jul 2020,Grumman G-1159 Gulfstream II SP,XB-NRX,Private,0,Mapastepec,w/o
561,5 Jul 2020,Boeing 737-7H4,N254WN,Southwest Airlines,0,"Orlando, Florida",non
562,5 Jul 2020,British Aerospace BAe-125-700A,XB-RCM,private,0,"10 km from José Maria Morelos, Quintana Roo",w/o
563,7 Jul 2020,Airbus A319-111,HB-JOH,Chair Airlines,0,Napoli-Capodichino Airport (NAP),w/o
564,7 Jul 2020,Hawker 800XP,N339AV,private,0,within Venezuela,w/o
565,9 Jul 2020,Embraer ERJ-175LR,N226NN,"Envoy Air, opf American Eagle",0,"Plainfield, Illinois",non
566,9 Jul 2020,Airbus A319-132,PT-TMO,LATAM Airlines Brasil,0,"near Guarulhos, SP",non
567,10 Jul 2020,Learjet 45,XA-CAO,Aeroparadise SA,0,Toluca-Licenciado Adolfo López Mateos International Airport (TLC),sub
568,13 Jul 2020,Britten-Norman BN-2A-27 Islander,N200MU,Tropic Air Charters,0,"Fort Lauderdale-Executive Airport, FL (FXE)",sub
569,13 Jul 2020,Antonov An-2R,RA-40851,Zeus-Avia,2,"0,4 km SE of Kistenevo, Bolsheboldinsky district, Nizhny Novgorod region",w/o
570,14 Jul 2020,Boeing 737-8S3 (WL),ZS-SJB,Mango,0,N of Durban,non
571,14 Jul 2020,de Havilland Canada DHC-8-402Q (PF) Dash 8,5Y-VVU,Blue Bird Aviation,0,Beledweyne-Ugas Khalif Airport (HCMN),w/o
572,15 Jul 2020,Beechcraft B300 King Air 350i,EM-809,Turkish Police,7,30 km SW of Van-Ferit Melen Airport (VAN),w/o
573,17 Jul 2020,Beechcraft 200 Super King Air,C-FSKQ,Skyjet Aviation,0,"Rouyn Airport, QC (YUY)",sub
574,19 Jul 2020,Antonov An-2R,RA-71276,Phoenix,6,"30 km W of Tagarkhay, Buryatia region",w/o
575,20 Jul 2020,Beechcraft B200 Super King Air,N740P,private,0,35 km SW of Brus Laguna,sub
576,22 Jul 2020,Beechcraft 400A Beechjet,N425BJ,N425BJ LLC,0,"Montgomery Regional Airport, AL (MGM)",sub
577,22 Jul 2020,Boeing 777-F60,ET-ARH,Ethiopian Airlines,0,Shanghai Pudong International Airport (PVG),w/o
578,23 Jul 2020,Airbus A310-304,EP-MNF,Mahan Air,0,Syrian airspace,non
579,25 Jul 2020,Cessna 208B Grand Caravan,XA-FTG,AX Transporter,0,Holbox Airstrip,sub
580,26 Jul 2020,Gulfstream Aerospace G-1159A Gulfstream III,N450BD,private,0,"near El Chal, Petén Department",w/o
581,28 Jul 2020,Boeing 737-3Z0 (SF),PK-YSZ,Trigana Air Service,0,Wamena Airport (WMX/WAJW),min
582,30 Jul 2020,Beechcraft 200 Super King Air,N515BA,private,0,"Rio Negro, Zulia",w/o
583,1 Aug 2020,Airbus A321-211 (WL),VP-BAX,Aeroflot Russian International Airlines,0,Moskva-Sheremetyevo Airport (SVO),sub
584,3 Aug 2020,Antonov An-74TK-100,RA-74044,"UTair-Cargo, opf United Nations - UN",0,Gao Airport (GAQ),w/o
585,4 Aug 2020,Harbin Y-12-II,KAF128,Kenya Air Force - KAF,0,Dhobley Airstrip,sub
586,7 Aug 2020,Boeing 737-8HG (WL),VT-AXH,Air India Express,21,Kozhikode-Calicut Airport (CCJ),w/o
587,8 Aug 2020,British Aerospace BAe-125,,private,0,Ixcán,w/o
588,8 Aug 2020,Canadair CL-215-1A10,EC-HET,"Aut, Nacional de Emergência e Proteção Civil, opb Babcock",1,Lobios,w/o
589,9 Aug 2020,British Aerospace BAe-125-800A,XB-RAY,private,0,near Maracaibo-La Chinita International Airport (MAR),w/o
590,10 Aug 2020,Rockwell Sabreliner 75A,N400RS,private,2,W off Paraguaná,w/o
591,12 Aug 2020,Airbus A320-214,EC-IEF,Iberia,0,near Barcelona Airport (LEBL),non
592,12 Aug 2020,Beechcraft B200 King Air,N316JP,private,0,"Santa Ana, Bartolomé de Las Casas, Zulia",w/o
593,13 Aug 2020,Let L-410UVP-E3,9S-GEN,Doren Air Congo,4,28 km from Bukavu-Kavumu Airport (BKY),w/o
594,16 Aug 2020,Cessna 208B Grand Caravan,5Y-SAV,City Link,0,New Fangak Airstrip,w/o
595,18 Aug 2020,ATR 72-600 (72-212A),6V-ASN,Air Senegal,0,Ziguinchor Airport (ZIG),sub
596,19 Aug 2020,Boeing 767-3S2FER,N146FE,FedEx,0,"Los Angeles International Airport, CA (LAX)",sub
597,20 Aug 2020,Beechcraft 200 Super King Air,N198DM,Bomac Air,1,"Chicago/Rockford International Airport, IL (RFD/KRFD)",w/o
598,22 Aug 2020,Antonov An-26B,EX-126,"South West Aviation, lsf Skyway Air",9,ca 4 km NW of Juba Airport (JUB),w/o
599,27 Aug 2020,Boeing 747SP-21,VQ-BMS,Las Vegas Sands Corporation,0,"Lake Charles-Chennault International Airport, LA (CWF)",sub
600,28 Aug 2020,Boeing 767-324ER,N423AX,Omni Air International,0,Bucharest Baneasa Aurel Vlaicu International Airport (BBU),sub
601,29 Aug 2020,Boeing 737-81D (WL),JA73NM,Skymark Airlines,0,15 km ENE of Tokyo-Haneda International Airport (HND),sub
602,29 Aug 2020,Dassault Falcon 200,XB-OAP,private,0,Palenque Airport (PQM),sub
603,4 Sep 2020,Fairchild SA227-AC Metro III,N362AE,Ameriflight,0,"San Antonio International Airport, TX (SAT)",sub
604,7 Sep 2020,Cessna 208B Grand Caravan,N186GC,Grand Canyon Airlines,0,"Whitmore-Grand Canyon Bar Ten Airstrip, AZ (GCT)",sub
605,7 Sep 2020,Gulfstream G200 Galaxy,PR-AUR,W.R.V. Empreendimentos e Participacoes Ltda.,0,"Belo Horizonte/Pampulha - Carlos Drummond de Andrade Airport, MG (PLU)",sub
606,11 Sep 2020,Cessna 208B Grand Caravan,5Y-CDH,Unknown,0,Maji Moto area in Narok South,w/o
607,15 Sep 2020,Beechcraft 200 King Air,,private,0,Machiques de Perija,w/o
608,16 Sep 2020,Cessna 560 Citation Encore,N254DR,Connair Consulting LLC,0,"Jackson-McKellar-Sipes Regional Airport, TN (MKL)",sub
609,18 Sep 2020,Learjet,,private,0,Zanja,w/o
610,19 Sep 2020,Fokker 50,5Y-MHT,"Silverstone Air Services, opf Saacid Airlines",0,Mogadishu Aden Adde International Airport (MGQ),w/o
611,21 Sep 2020,Learjet 35,false reg.,private,0,Santha Martha,w/o
612,22 Sep 2020,Cessna 208B Grand Caravan,HK-4669-G,private,0,near Guaymaral Airport,sub
613,23 Sep 2020,British Aerospace BAe-125-800A,XB-PYZ,private,4,"Alta Verapaz, Santa Marta Salina",w/o
614,25 Sep 2020,British Aerospace BAe-125,,private,,"Catatumbo, Edo, Zulia",w/o
615,25 Sep 2020,Antonov An-26Sh,76 yellow,Ukraine Air Force,26,"1,1 km N of Chuhuiv Air Base",w/o
616,27 Sep 2020,Canadair CL-600-1A11 Challenger 600,N100QR,private,0,"Sur del Lago region, Zulia",w/o
617,28 Sep 2020,Antonov An-2,,Unknown,0,near Martuni,w/o
618,29 Sep 2020,Lockheed KC-130J Hercules,166765,United States Marine Corps,0,"near Salton City, CA",sub
619,30 Sep 2020,Boeing 777-232ER,N860DA,Delta Air Lines,0,"Anchorage, Alaska",non
620,4 Oct 2020,Gulfstream American G-1159A Gulfstream III,N305LR,private,0,"Machiques, Zulia",w/o
621,5 Oct 2020,de Havilland Canada DHC-6 Twin Otter 300,8Q-TMF,Trans Maldivian Airways,0,Malé-Velana International Airport (MLE),sub
622,5 Oct 2020,British Aerospace BAe-125,,private,0,"Sergio Butrón Casas, Quintana Roo",w/o
623,5 Oct 2020,Hawker 850XP,HS-WTH,Ratchthani Leasing Public Company Limited,0,Pattani Airport (PAN/VTSK),sub
624,6 Oct 2020,Boeing 737-4B6 (SF),HK-5228,AerCaribe Cargo,0,San José-Juan Santamaria International Airport (SJO/MROC),w/o
625,10 Oct 2020,Douglas C-54E (DC-4),N96358,Alaska Air Fuel,0,"Yakataga Airport, AK",sub
626,10 Oct 2020,Cessna 208B Grand Caravan,5H-NWA,Duk Air Travel,0,Mundri Airstrip,sub
627,14 Oct 2020,Airbus A320-200,,,0,over Germany,non
628,14 Oct 2020,Beechcraft 99A Airliner,N499CZ,Freight Runners Express,0,"Waterville-Robert Lafleur Airport, ME (WVL)",sub
629,14 Oct 2020,Antonov An-32A,OB-2120-P,AerCaribe Peru,0,Iquitos-Coronel Francisco Secada Vignetta International Airport (IQT),w/o
630,16 Oct 2020,Britten-Norman BN-2A-27 Islander,V6-01FM,Caroline Islands Air,0,"Mwoakilloa Airfield, Caroline Islands",sub
631,21 Oct 2020,Learjet 60,N1128M,Worldwide Jet Charter Inc,0,"Chicago-Executive Airport, IL (PWK)",sub
632,22 Oct 2020,de Havilland Canada DHC-6 Twin Otter 300,8Q-TMR,Trans Maldivian Airways,0,Medhafushi Water Aerodrome,sub
633,23 Oct 2020,Bombardier DHC-8-402Q Dash 8,JA845A,Oriental Air Bridge,0,Fukue Airport (FUJ),sub
634,24 Oct 2020,Embraer ERJ-145LR,N674RJ,"American Eagle, opb Envoy Air",0,Freeport-Grand Bahama International Airport (FPO),sub
635,29 Oct 2020,Gulfstream American G-1159A Gulfstream III,N461AR ?,private,3,Laguna del Tigre,w/o
636,29 Oct 2020,Britten-Norman BN-2A-26 Islander,N706MC,St. Bernard Parish Government,0,"New Orleans-Lakefront Airport, LA (NEW)",sub
637,30 Oct 2020,Antonov An-2,PT-ZNQ,private,0,"Brasília-Piquet Airport, DF (SSGP)",sub
638,30 Oct 2020,Embraer EMB-500 Phenom 100,PR-LMP,TRACBEL,0,"Igaratinga-São Pedro Airport, MG (SSDK)",w/o
639,31 Oct 2020,Cessna AC-208B Combat Caravan,YI-118,Al Quwwat al Jawwiya al Iraqiya (Iraqi Air Force),2,near Balad,w/o
640,1 Nov 2020,Raytheon Beechjet 400A,N456FL,Georgia Jet,0,"Fernandina Beach Municipal Airport, FL (KFHB)",sub
641,5 Nov 2020,Fairchild SA227-AC Metro III,LV-VDJ,Dos Mil Aerosistema,0,"Mendoza-El Plumerillo Airport, MD (MDZ)",sub
642,9 Nov 2020,Rockwell Sabreliner 65,XA-VD.,private,1,"El Chico, Champerico, Retalhuleu",w/o
643,11 Nov 2020,British Aerospace BAe-125-800B,,private,0,Parque Nacional Laguna del Tigre,w/o
644,12 Nov 2020,British Aerospace 3201 Jetstream 32EP,OB-2152,SAETA Peru,0,Iquitos International Airport (IQT),sub
645,13 Nov 2020,Bombardier CRJ-701ER,N778SK,"SkyWest Airlines, opf American Eagle",0,"Phoenix-Sky Harbor International Airport, AZ (PHX/KPHX)",non
646,13 Nov 2020,Antonov An-124-100,RA-82042,Volga-Dnepr Airlines,0,Novosibirsk-Tolmachevo Airport (OVB),sub
647,15 Nov 2020,Grumman G-1159 Gulfstream II SP,N104VV,private,0,"Caño Amarillo, Catatumbo",w/o
648,16 Nov 2020,ATR 72-500 (72-212A),VT-TMM,TruJet,0,Mysore Airport (MYQ),sub
649,23 Nov 2020,Beechcraft 200 King Air,HB-GJM,Air-Glaciers,0,Sion Airport (SIR),sub
650,23 Nov 2020,de Havilland Canada DHC-8-314 Dash 8,C-FEXZ,Voyageur Airways,0,"North Bay Airport, ON (YYB)",sub
651,23 Nov 2020,de Havilland Canada DHC-7-110,VP-FBQ,British Antarctic Survey,0,"North Bay Airport, ON (YYB)",sub
652,26 Nov 2020,ATR 42-300,C-FAFS,Calm Air International,0,"Naujaat Airport, NU (YUT)",sub
653,28 Nov 2020,Embraer EMB-110P1 Bandeirante,CU-T1541,Cubana de Aviación,0,Havana-José Martí International Airport (HAV),sub
654,30 Nov 2020,Cessna 208B Grand Caravan,C6-AWO,Royal Bahamas Defence Force,0,George Town-Exuma International Airport (GGT),sub
655,1 Dec 2020,de Havilland Canada DHC-6 Vista Liner 300,P2-ASM,Air Sanga,0,Wobagen Airstrip,sub
656,2 Dec 2020,Cessna 551 Citation II/SP,N48DK,Aviation Star S II LLC,0,"Lufkin Angelina County Airport, TX (LFK)",sub
657,2 Dec 2020,Boeing 737-529,EY-560,Air Djibouti,0,Garowe Airport (GGR),sub
658,5 Dec 2020,British Aerospace BAe-125-800A,N484AR,private,,Jesús María Semprúm,w/o
659,5 Dec 2020,Beechcraft A100 King Air,C-FWYO,Airco Aircraft Charters,0,"Edmonton International Airport, AB (YEG)",sub
660,9 Dec 2020,Shijiazhuang Y-5B,B-8242,Xinjiang General Aviation,0,Urumqi-Yaxin General Airport,w/o
661,9 Dec 2020,Antonov An-2R,UR-33642,private,1,"near Zolota Sloboda, Kozova Raion, Ternopil Oblast",w/o
662,10 Dec 2020,Gulfstream Aerospace G-1159A Gulfstream III,(N370JL),private,0,southern Belize,w/o
663,13 Dec 2020,Eclipse 500,N686TM,private,0,"Leadville Airport, CO (LXV)",sub
664,16 Dec 2020,Embraer EMB-500 Phenom 100,N661EP,Executive Aviation Investors Inc,0,"Jacksonville Executive at Craig Airport, FL (CRG)",sub
665,19 Dec 2020,British Aerospace BAe-125-700A,(N326TD),private,1,Parque Nacional Sierra de Lacandon,w/o
666,20 Dec 2020,Raytheon Hawker 800XP,N412JA,Talon Air,0,"Farmingdale-Republic Airport, NY (FRG)",sub
667,22 Dec 2020,Cessna 525 Citation M2,PR-HFT,La Barca Empreendimentos Ltda,0,"Uberlândia, MG (SBUL)",sub
668,23 Dec 2020,Airbus A320-232,N463UA,United Airlines,0,"Houston, Texas",non
669,30 Dec 2020,Cessna 208B Supervan 900,PZ-TSK,Blue Wing Airlines,0,Kawemhaken-Lawa Anapaike Airstrip,sub
670,7 Jan 2019,Saab 340B,YL-RAF,RAF-AVIA,0,Savonlinna Airport (SVL),sub
671,12 Jan 2019,Boeing 737-524 (WL),VQ-BJP,UTair Aviation,0,Moskva-Vnukovo Airport (VKO),sub
672,12 Jan 2019,Canadair CL-600-2A12 Challenger 601,N813WT,TW 601-C Investment LLC,0,"Uvalde-Ox Ranch Airport ,TX",sub
673,14 Jan 2019,Boeing 707-3J9C,EP-CPP,"Saha Air, lsf Islamic Republic of Iran Air Force - IRIAF",15,Fat'h Airport,w/o
674,16 Jan 2019,Cessna 208B Grand Caravan,8R-YAC,Air Services Limited - ASL,0,Georgetown-Ogle International Airport (OGL),sub
675,18 Jan 2019,Boeing 777-212ER,9V-SQL,Singapore Airlines,0,en route Melbourne-Wellington,non
676,21 Jan 2019,Aero Modifications AMI DC-3-65TP,N467KS,Priority Air Charter,2,"SE of Kidron-Stoltzfus Airfield, OH",sub
677,22 Jan 2019,Boeing 737-8LJ (WL),VP-BRR,Aeroflot Russian International Airlines,0,Khanty-Mansiysk International Airport (HMA),non
678,23 Jan 2019,de Havilland Canada DHC-8-102 Dash 8,C-GTCO,Air Creebec,0,"Rouyn Airport, QC (YUY)",sub
679,26 Jan 2019,Airbus A321-231,TC-OEB,Onur Air,0,Antalya Airport (AYT/LTAI),sub
680,28 Jan 2019,Airbus A320-214 (WL),N220FR,Frontier Airlines,0,"Denver International Airport, CO (DEN/KDEN)",sub
681,28 Jan 2019,Boeing 727-2B6 Adv. (F),N720CK,Kalitta Charters,0,"Tuscaloosa Regional Airport, AL (TCL)",sub
682,28 Jan 2019,ATR 72-500 (72-212A),EC-LYJ,"Air Europa, opb Swiftair",0,Palma de Mallorca Airport (PMI),sub
683,29 Jan 2019,Beechcraft B200 King Air,N13LY,Guardian Flight,3,"32 km W off Kake, AK",w/o
684,30 Jan 2019,Beechcraft 200 Super King Air,C-GTUC,Air Tindi,2,"39 km ESE of Whatì/Lac La Martre Airport, NT (YLE)",w/o
685,3 Feb 2019,Boeing 787-8 Dreamliner,N26909,United Airlines,0,"Pacific Ocean, Pacific Ocean",non
686,4 Feb 2019,Boeing 737-332,ST-TAL,"Tarco Air, opf Sudan Airways",0,Khartoum-Civil Airport,non
687,5 Feb 2019,Boeing 737-823 (WL),N852NN,American Airlines,0,Bluefields,non
688,8 Feb 2019,Airbus A321-251N,SE-RKA,Novair,0,Billund Airport (BLL),sub
689,8 Feb 2019,Convair C-131B Samaritan,N145GT,Conquest Air Cargo,1,"21 km E off Bay Harbor Islands, FL",w/o
690,9 Feb 2019,Cessna 208 Caravan I,PR-RTA,RICO Taxi Aéreo,0,"231 km SSW of Caracaraí, RR",sub
691,9 Feb 2019,Embraer ERJ 190AR (ERJ-190-100 IGW),5Y-FFF,Kenya Airways,0,Nairobi-Jomo Kenyatta International Airport (NBO),sub
692,9 Feb 2019,Embraer ERJ 190AR (ERJ-190-100 IGW),5Y-KYR,Kenya Airways,0,Nairobi-Jomo Kenyatta International Airport (NBO),sub
693,11 Feb 2019,Raytheon Beechjet 400A,N750TA,Stein's Aircraft Services,0,"Richmond Municipal Airport, IN (RID)",sub
694,13 Feb 2019,Embraer ERJ-175LR (ERJ-170-200 LR),N613CZ,"Delta Airlines, opb Compass Airlines",0,"near Reno-Tahoe International Airport (KRNO), Washoe County, NV",min
695,13 Feb 2019,de Havilland Canada DHC-6 Twin Otter 300,PJ-WII,Winair,0,Saint-Barthélémy-Rémy de Haenen Airport (SBH/TFFJ),non
696,13 Feb 2019,Boeing 787-9 Dreamliner,PH-BHA,KLM Royal Dutch Airlines,0,Amsterdam-Schiphol International Airport (AMS/EHAM),min
697,13 Feb 2019,Boeing 747-406M,PH-BFV,KLM Royal Dutch Airlines,0,Amsterdam-Schiphol International Airport (AMS/EHAM),min
698,17 Feb 2019,Boeing 737-832 (WL),N3730B,Delta Air Lines,0,"Franklin, Tennessee",non
699,23 Feb 2019,Boeing 767-375ER (BCF) (WL),N1217A,"Amazon Air, opb Atlas Air",3,"Trinity Bay, near Anahuac, TX",w/o
700,24 Feb 2019,Boeing 737-8E9 (WL),S2-AHV,Biman Bangladesh Airlines,1,Chittagong-Shah Amanat International Airport (CGP),min
701,25 Feb 2019,de Havilland Canada EO-5C (DHC-7-102),N89068,United States Army,0,Pyongtaek-Desiderio AAF (RKSG),sub
702,26 Feb 2019,Gulfstream G200 Galaxy,4K-AZ88,Silk Way Business Aviation,0,Moskva-Sheremetyevo Airport (SVO),sub
703,27 Feb 2019,Boeing 777-223ER,N771AN,American Airlines,0,"near Honolulu, Oahu, HI",non
704,28 Feb 2019,Embraer ERJ-195LR (ERJ-190-200 LR),G-FBEJ,Flybe,0,Exeter Airport (EXT/EGTE),non
705,2 Mar 2019,de Havilland Canada DHC-8-402Q Dash 8,G-JECN,Flybe,0,Southampton-Eastleigh Airport (SOU/EGHI),sub
706,3 Mar 2019,Bombardier BD-100 Challenger 350,N715CG,private,0,"Eufaula-Weedon Field, AL (EUF/KEUF)",w/o
707,3 Mar 2019,Airbus A320-214 (WL),PR-OCW,Avianca Brasil,0,"Rio de Janeiro/Galeão-Antonio Carlos Jobim International Airport, RJ",sub
708,3 Mar 2019,Honda HA-420 HondaJet,N105HJ,Banyan Jet Service,0,"Eufaula-Weedon Field, AL (EUF/KEUF)",w/o
709,3 Mar 2019,Beechcraft 1900D,7T-VIO,Tassili Airlines,0,Ouargla-Ain Beida Airport (OGX),sub
710,4 Mar 2019,Cessna 208B Grand Caravan,C-FAFV,Amik Aviation,0,"1,4 km S of Little Grand Rapids Airport, MB (ZGR)",sub
711,4 Mar 2019,Embraer EMB-145XR,N14171,"United Express, opb CommutAir",0,"Presque Isle International Airport, ME (PQI)",sub
712,7 Mar 2019,Learjet 35A,LV-BNR,Baires Fly,0,"Buenos Aires-Jorge Newbery Airport, BA (AEP)",sub
713,9 Mar 2019,Gulfstream G-IV,N505GF,Waffle House Inc.,0,"Atlanta-DeKalb Peachtree Airport, GA (PDK)",sub
